id,charcter
687,唆
688,差
689,詐
690,鎖
691,座
692,挫
693,才
694,再
695,災
696,妻
697,采
698,砕
699,宰
700,栽
701,彩
702,採
703,済
704,祭
705,斎
706,細
707,菜
708,最
709,裁
710,債
711,催
712,塞
713,歳
714,載
715,際
716,埼
717,在
718,材
719,剤
720,財
721,罪
722,崎
723,作
724,削
725,昨
726,柵
727,索
728,策
729,酢
730,搾
731,錯
732,咲
733,冊
734,札
735,刷
736,刹
737,拶
738,殺
739,察
740,撮
741,擦
742,雑
743,皿
744,三
745,山
746,参
747,桟
748,蚕
749,惨
750,産
751,傘
752,散
753,算
754,酸
755,賛
756,残
757,斬
758,暫
759,士
760,子
761,支
762,止
763,氏
764,仕
765,史
766,司
767,四
768,市
769,矢
770,旨
771,死
772,糸
773,至
774,伺
775,志
776,私
777,使
778,刺
779,始
780,姉
781,枝
782,祉
783,肢
784,姿
785,思
786,指
787,施
788,師
789,恣
790,紙
791,脂
792,視
793,紫
794,詞
795,歯
796,嗣
797,試
798,詩
799,資
800,飼
801,誌
802,雌
803,摯
804,賜
805,諮
806,示
807,字
808,寺
809,次
810,耳
811,自
812,似
813,児
814,事
815,侍
816,治
817,持
818,時
819,滋
820,慈
821,辞
822,磁
823,餌
824,璽
825,鹿
826,式
827,識
828,軸
829,七
830,?-叱
831,失
832,室
833,疾
834,執
835,湿
836,嫉
837,漆
838,質
839,実
840,芝
841,写
842,社
843,車
844,舎
845,者
846,射
847,捨
848,赦
849,斜
850,煮
851,遮
852,謝
853,邪
854,蛇
855,勺
856,尺
857,借
858,酌
859,釈
860,爵
861,若
862,弱
863,寂
864,手
865,主
866,守
867,朱
868,取
869,狩
870,首
871,殊
872,珠
873,酒
874,腫
875,種
876,趣
877,寿
878,受
879,呪
880,授
881,需
882,儒
883,樹
884,収
885,囚
886,州
887,舟
888,秀
889,周
890,宗
891,拾
892,秋
893,臭
894,修
895,袖
896,終
897,羞
898,習
899,週
900,就
901,衆
902,集
903,愁
904,酬
905,醜
906,蹴
907,襲
908,十
909,汁
910,充
911,住
912,柔
913,重
914,従
915,渋
916,銃
917,獣
918,縦
919,叔
920,祝
921,宿
922,淑
923,粛
924,縮
925,塾
926,熟
927,出
928,述
929,術
930,俊
931,春
932,瞬
933,旬
934,巡
935,盾
936,准
937,殉
938,純
939,循
940,順
941,準
942,潤
943,遵
944,処
945,初
946,所
947,書
948,庶
949,暑
950,署
951,緒
952,諸
953,女
954,如
955,助
956,序
957,叙
958,徐
959,除
960,小
961,升
962,少
963,召
964,匠
965,床
966,抄
967,肖
968,尚
969,招
970,承
971,昇
972,松
973,沼
974,昭
975,宵
976,将
977,消
978,症
979,祥
980,称
981,笑
982,唱
983,商
984,渉
985,章
986,紹
987,訟
988,勝
989,掌
990,晶
991,焼
992,焦
993,硝
994,粧
995,詔
996,証
997,象
998,傷
999,奨
1000,照
1001,詳
1002,彰
1003,障
1004,憧
1005,衝
1006,賞
1007,償
1008,礁
1009,鐘
1010,上
1011,丈
1012,冗
1013,条
1014,状
1015,乗
1016,城
1017,浄
1018,剰
1019,常
1020,情
1021,場
1022,畳
1023,蒸
1024,縄
1025,壌
1026,嬢
1027,錠
1028,譲
1029,醸
1030,色
1031,拭
1032,食
1033,植
1034,殖
1035,飾
1036,触
1037,嘱
1038,織
1039,職
1040,辱
1041,尻
1042,心
1043,申
1044,伸
1045,臣
1046,芯
1047,身
1048,辛
1049,侵
1050,信
1051,津
1052,神
1053,唇
1054,娠
1055,振
1056,浸
1057,真
1058,針
1059,深
1060,紳
1061,進
1062,森
1063,診
1064,寝
1065,慎
1066,新
1067,審
1068,震
1069,薪
1070,親
1071,人
1072,刃
1073,仁
1074,尽
1075,迅
1076,甚
1077,陣
1078,尋
1079,腎
1080,須
1081,図
1082,水
1083,吹
1084,垂
1085,炊
1086,帥
1087,粋
1088,衰
1089,推
1090,酔
1091,遂
1092,睡
1093,穂
1094,錘
1095,随
1096,髄
1097,枢
1098,崇
1099,数
1100,据
1101,杉
1102,裾
1103,寸
1104,瀬
1105,是
1106,井
1107,世
1108,正
1109,生
1110,成
1111,西
1112,声
1113,制
1114,姓
1115,征
1116,性
1117,青
1118,斉
1119,政
1120,星
1121,牲
1122,省
1123,凄
1124,逝
1125,清
1126,盛
1127,婿
1128,晴
1129,勢
1130,聖
1131,誠
1132,精
1133,製
1134,誓
1135,静
1136,請
1137,整
1138,醒
1139,税
1140,夕
1141,斥
1142,石
1143,赤
1144,昔
1145,析
1146,席
1147,脊
1148,隻
1149,惜
1150,戚
1151,責
1152,跡
1153,積
1154,績
1155,籍
1156,切
1157,折
1158,拙
1159,窃
1160,接
1161,設
1162,雪
1163,摂
1164,節
1165,説
1166,舌
1167,絶
1168,千
1169,川
1170,仙
1171,占
1172,先
1173,宣
1174,専
1175,泉
1176,浅
1177,洗
1178,染
1179,扇
1180,栓
1181,旋
1182,船
1183,戦
1184,煎
1185,羨
1186,腺
1187,詮
1188,践
1189,箋
1190,銭
1191,銑
1192,潜
1193,線
1194,遷
1195,選
1196,薦
1197,繊
1198,鮮
1199,全
1200,前
1201,善
1202,然
1203,禅
1204,漸
1205,膳
1206,繕
1207,狙
1208,阻
1209,祖
1210,租
1211,素
1212,措
1213,粗
1214,組
1215,疎
1216,訴
1217,塑
1218,遡
1219,礎
1220,双
1221,壮
1222,早
1223,争
1224,走
1225,奏
1226,相
1227,荘
1228,草
1229,送
1230,倉
1231,捜
1232,挿
1233,桑
1234,巣
1235,掃
1236,曹
1237,曽
1238,爽
1239,窓
1240,創
1241,喪
1242,痩
1243,葬
1244,装
1245,僧
1246,想
1247,層
1248,総
1249,遭
1250,槽
1251,踪
1252,操
1253,燥
1254,霜
1255,騒
1256,藻
1257,造
1258,像
1259,増
1260,憎
1261,蔵
1262,贈
1263,臓
1264,即
1265,束
1266,足
1267,促
1268,則
1269,息
1270,捉
1271,速
1272,側
1273,測
1274,俗
1275,族
1276,属
1277,賊
1278,続
1279,卒
1280,率
1281,存
1282,村
1283,孫
1284,尊
1285,損
1286,遜
1287,他
1288,多
1289,汰
1290,打
1291,妥
1292,唾
1293,堕
1294,惰
1295,駄
1296,太
1297,対
1298,体
1299,耐
1300,待
1301,怠
1302,胎
1303,退
1304,帯
1305,泰
1306,堆
1307,袋
1308,逮
1309,替
1310,貸
1311,隊
1312,滞
1313,態
1314,戴
1315,大
1316,代
1317,台
1318,第
1319,題
1320,滝
1321,宅
1322,択
1323,沢
1324,卓
1325,拓
1326,託
1327,濯
1328,諾
1329,濁
1330,但
1331,達
1332,脱
1333,奪
1334,棚
1335,誰
1336,丹
1337,旦
1338,担
1339,単
1340,炭
1341,胆
1342,探
1343,淡
1344,短
1345,嘆
1346,端
1347,綻
1348,誕
1349,鍛
1350,団
1351,男
1352,段
1353,断
1354,弾
1355,暖
1356,談
1357,壇
1358,地
1359,池
1360,知
1361,値
1362,恥
1363,致
1364,遅
1365,痴
1366,稚
1367,置
1368,緻
1369,竹
1370,畜
1371,逐
1372,蓄
1373,築
1374,秩
1375,窒
1376,茶
1377,着
1378,嫡
1379,中
1380,仲
1381,虫
1382,沖
1383,宙
1384,忠
1385,抽
1386,注
1387,昼
1388,柱
1389,衷
1390,酎
1391,鋳
1392,駐
1393,著
1394,貯
1395,丁
1396,弔
1397,庁
1398,兆
1399,町
1400,長
1401,挑
1402,帳
1403,張
1404,彫
1405,眺
1406,釣
1407,頂
1408,鳥
1409,朝
1410,脹
1411,貼
1412,超
1413,腸
1414,跳
1415,徴
1416,嘲
1417,潮
1418,澄
1419,調
1420,聴
1421,懲
1422,直
1423,勅
1424,捗
1425,沈
1426,珍
1427,朕
1428,陳
1429,賃
1430,鎮
1431,追
1432,椎
1433,墜
1434,通
1435,痛
1436,塚
1437,漬
1438,坪
1439,爪
1440,鶴
1441,低
1442,呈
1443,廷
1444,弟
1445,定
1446,底
1447,抵
1448,邸
1449,亭
1450,貞
1451,帝
1452,訂
1453,庭
1454,逓
1455,停
1456,偵
1457,堤
1458,提
1459,程
1460,艇
1461,締
1462,諦
1463,泥
1464,的
1465,笛
1466,摘
1467,滴
1468,適
1469,敵
1470,溺
1471,迭
1472,哲
1473,鉄
1474,徹
1475,撤
1476,天
1477,典
1478,店
1479,点
1480,展
1481,添
1482,転
1483,?
1484,田
1485,伝
1486,殿
1487,電
1488,斗
1489,吐
1490,妬
1491,徒
1492,途
1493,都
1494,渡
1495,塗
1496,賭
1497,土
1498,奴
1499,努
1500,度
1501,怒
1502,刀
1503,冬
1504,灯
1505,当
1506,投
1507,豆
1508,東
1509,到
1510,逃
1511,倒
1512,凍
1513,唐
1514,島
1515,桃
1516,討
1517,透
1518,党
1519,悼
1520,盗
1521,陶
1522,塔
1523,搭
1524,棟
1525,湯
1526,痘
1527,登
1528,答
1529,等
1530,筒
1531,統
1532,稲
1533,踏
1534,糖
1535,頭
1536,謄
1537,藤
1538,闘
1539,騰
1540,同
1541,洞
1542,胴
1543,動
1544,堂
1545,童
1546,道
1547,働
1548,銅
1549,導
1550,瞳
1551,峠
1552,匿
1553,特
1554,得
1555,督
1556,徳
1557,篤
1558,毒
1559,独
1560,読
1561,栃
1562,凸
1563,突
1564,届
1565,屯
1566,豚
1567,頓
1568,貪
1569,鈍
1570,曇
1571,丼
1572,那
1573,奈
1574,内
1575,梨
1576,謎
1577,鍋
1578,南
1579,軟
1580,難
1581,二
1582,尼
1583,弐
1584,匂
1585,肉
1586,虹
1587,日
1588,入
1589,乳
1590,尿
1591,任
1592,妊
1593,忍
1594,認
1595,寧
1596,熱
1597,年
1598,念
1599,捻
1600,粘
1601,燃
1602,悩
1603,納
1604,能
1605,脳
1606,農
1607,濃
1608,把
1609,波
1610,派
1611,破
1612,覇
1613,馬
1614,婆
1615,罵
1616,拝
1617,杯
1618,背
1619,肺
1620,俳
1621,配
1622,排
1623,敗
1624,廃
1625,輩
1626,売
1627,倍
1628,梅
1629,培
1630,陪
1631,媒
1632,買
1633,賠
1634,白
1635,伯
1636,拍
1637,泊
1638,迫
1639,?
1640,舶
1641,博
1642,薄
1643,麦
1644,漠
1645,縛
1646,爆
1647,箱
1648,箸
1649,畑
1650,肌
1651,八
1652,鉢
1653,発
1654,髪
1655,伐
1656,抜
1657,罰
1658,閥
1659,反
1660,半
1661,氾
1662,犯
1663,帆
1664,汎
1665,伴
1666,判
1667,坂
1668,阪
1669,板
1670,版
1671,班
1672,畔
1673,般
1674,販
1675,斑
1676,飯
1677,搬
1678,煩
1679,頒
1680,範
1681,繁
1682,藩
1683,晩
1684,番
1685,蛮
1686,盤
1687,比
1688,皮
1689,妃
1690,否
1691,批
1692,彼
1693,披
1694,肥
1695,非
1696,卑
1697,飛
1698,疲
1699,秘
1700,被
1701,悲
1702,扉
1703,費
1704,碑
1705,罷
1706,避
1707,尾
1708,眉
1709,美
1710,備
1711,微
1712,鼻
1713,膝
1714,肘
1715,匹
1716,必
1717,泌
1718,筆
1719,姫
1720,百
1721,氷
1722,表
1723,俵
1724,票
1725,評
1726,漂
1727,標
1728,苗
1729,秒
1730,病
1731,描
1732,猫
1733,品
1734,浜
1735,貧
1736,賓
1737,頻
1738,敏
1739,瓶
1740,不
1741,夫
1742,父
1743,付
1744,布
1745,扶
1746,府
1747,怖
1748,阜
1749,附
1750,訃
1751,負
1752,赴
1753,浮
1754,婦
1755,符
1756,富
1757,普
1758,腐
1759,敷
1760,膚
1761,賦
1762,譜
1763,侮
1764,武
1765,部
1766,舞
1767,封
1768,風
1769,伏
1770,服
1771,副
1772,幅
1773,復
1774,福
1775,腹
1776,複
1777,覆
1778,払
1779,沸
1780,仏
1781,物
1782,粉
1783,紛
1784,雰
1785,噴
1786,墳
1787,憤
1788,奮
1789,分
1790,文
1791,聞
1792,丙
1793,平
1794,兵
1795,併
1796,並
1797,柄
1798,陛
1799,閉
1800,塀
1801,幣
1802,弊
1803,蔽
1804,餅
1805,米
1806,壁
1807,璧
1808,癖
1809,別
1810,蔑
1811,片
1812,辺
1813,返
1814,変
1815,偏
1816,遍
1817,編
1818,弁
1819,便
1820,勉
1821,歩
1822,保
1823,哺
1824,捕
1825,補
1826,舗
1827,母
1828,募
1829,墓
1830,慕
1831,暮
1832,簿
1833,方
1834,包
1835,芳
1836,邦
1837,奉
1838,宝
1839,抱
1840,放
1841,法
1842,泡
1843,胞
1844,俸
1845,倣
1846,峰
1847,砲
1848,崩
1849,訪
1850,報
1851,蜂
1852,豊
1853,飽
1854,褒
1855,縫
1856,亡
1857,乏
1858,忙
1859,坊
1860,妨
1861,忘
1862,防
1863,房
1864,肪
1865,某
1866,冒
1867,剖
1868,紡
1869,望
1870,傍
1871,帽
1872,棒
1873,貿
1874,貌
1875,暴
1876,膨
1877,謀
1878,?
1879,北
1880,木
1881,朴
1882,牧
1883,睦
1884,僕
1885,墨
1886,撲
1887,没
1888,勃
1889,堀
1890,本
1891,奔
1892,翻
1893,凡
1894,盆
1895,麻
1896,摩
1897,磨
1898,魔
1899,毎
1900,妹
1901,枚
1902,昧
1903,埋
1904,幕
1905,膜
1906,枕
1907,又
1908,末
1909,抹
1910,万
1911,満
1912,慢
1913,漫
1914,未
1915,味
1916,魅
1917,岬
1918,密
1919,蜜
1920,脈
1921,妙
1922,民
1923,眠
1924,矛
1925,務
1926,無
1927,夢
1928,霧
1929,娘
1930,名
1931,命
1932,明
1933,迷
1934,冥
1935,盟
1936,銘
1937,鳴
1938,滅
1939,免
1940,面
1941,綿
1942,麺
1943,茂
1944,模
1945,毛
1946,妄
1947,盲
1948,耗
1949,猛
1950,網
1951,目
1952,黙
1953,門
1954,紋
1955,問
1956,匁
1957,冶
1958,夜
1959,野
1960,弥
1961,厄
1962,役
1963,約
1964,訳
1965,薬
1966,躍
1967,闇
1968,由
1969,油
1970,喩
1971,愉
1972,諭
1973,輸
1974,癒
1975,唯
1976,友
1977,有
1978,勇
1979,幽
1980,悠
1981,郵
1982,湧
1983,猶
1984,裕
1985,遊
1986,雄
1987,誘
1988,憂
1989,融
1990,優
1991,与
1992,予
1993,余
1994,誉
1995,預
1996,幼
1997,用
1998,羊
1999,妖
2000,洋
2001,要
2002,容
2003,庸
2004,揚
2005,揺
2006,葉
2007,陽
2008,溶
2009,腰
2010,様
2011,瘍
2012,踊
2013,窯
2014,養
2015,擁
2016,謡
2017,曜
2018,抑
2019,沃
2020,浴
2021,欲
2022,翌
2023,翼
2024,拉
2025,裸
2026,羅
2027,来
2028,雷
2029,頼
2030,絡
2031,落
2032,酪
2033,辣
2034,乱
2035,卵
2036,覧
2037,濫
2038,藍
2039,欄
2040,吏
2041,利
2042,里
2043,理
2044,痢
2045,裏
2046,履
2047,璃
2048,離
2049,陸
2050,立
2051,律
2052,慄
2053,略
2054,柳
2055,流
2056,留
2057,竜
2058,粒
2059,隆
2060,硫
2061,侶
2062,旅
2063,虜
2064,慮
2065,了
2066,両
2067,良
2068,料
2069,涼
2070,猟
2071,陵
2072,量
2073,僚
2074,領
2075,寮
2076,療
2077,瞭
2078,糧
2079,力
2080,緑
2081,林
2082,厘
2083,倫
2084,輪
2085,隣
2086,臨
2087,瑠
2088,涙
2089,累
2090,塁
2091,類
2092,令
2093,礼
2094,冷
2095,励
2096,戻
2097,例
2098,鈴
2099,零
2100,霊
2101,隷
2102,齢
2103,麗
2104,暦
2105,歴
2106,列
2107,劣
2108,烈
2109,裂
2110,恋
2111,連
2112,廉
2113,練
2114,錬
2115,呂
2116,炉
2117,賂
2118,路
2119,露
