id,kanjis_id,read_full,yomigana,okurigana,is_japanese_reading
3659,1781,モツ,モツ,,false
3660,1781,もの,もの,,true
3661,1782,フン,フン,,false
3662,1782,こ,こ,,true
3663,1782,こな,こな,,true
3664,1783,フン,フン,,false
3665,1783,まぎ-れる,まぎ,れる,true
3666,1783,まぎ-らす,まぎ,らす,true
3667,1783,まぎ-らわす,まぎ,らわす,true
3668,1783,まぎ-らわしい,まぎ,らわしい,true
3669,1784,フン,フン,,false
3670,1785,フン,フン,,false
3671,1785,ふ-く,ふ,く,true
3672,1786,フン,フン,,false
3673,1787,フン,フン,,false
3674,1787,いきどお-る,いきどお,る,true
3675,1788,フン,フン,,false
3676,1788,ふる-う,ふる,う,true
3677,1789,ブン,ブン,,false
3678,1789,フン,フン,,false
3679,1789,ブ,ブ,,false
3680,1789,わ-ける,わ,ける,true
3681,1789,わ-かれる,わ,かれる,true
3682,1789,わ-かる,わ,かる,true
3683,1789,わ-かつ,わ,かつ,true
3684,1790,ブン,ブン,,false
3685,1790,モン,モン,,false
3686,1790,ふみ,ふみ,,true
3687,1791,ブン,ブン,,false
3688,1791,モン,モン,,false
3689,1791,き-く,き,く,true
3690,1791,き-こえる,き,こえる,true
3691,1792,ヘイ,ヘイ,,false
3692,1793,ヘイ,ヘイ,,false
3693,1793,ビョウ,ビョウ,,false
3694,1793,たい-ら,たい,ら,true
3695,1793,ひら,ひら,,true
3696,1794,ヘイ,ヘイ,,false
3697,1794,ヒョウ,ヒョウ,,false
3698,1795,ヘイ,ヘイ,,false
3699,1795,あわ-せる,あわ,せる,true
3700,1796,ヘイ,ヘイ,,false
3701,1796,なみ,なみ,,true
3702,1796,なら-べる,なら,べる,true
3703,1796,なら-ぶ,なら,ぶ,true
3704,1796,なら-びに,なら,びに,true
3705,1797,ヘイ,ヘイ,,false
3706,1797,がら,がら,,true
3707,1797,え,え,,true
3708,1798,ヘイ,ヘイ,,false
3709,1799,ヘイ,ヘイ,,false
3710,1799,と-じる,と,じる,true
3711,1799,と-ざす,と,ざす,true
3712,1799,し-める,し,める,true
3713,1799,し-まる,し,まる,true
3714,1800,ヘイ,ヘイ,,false
3715,1801,ヘイ,ヘイ,,false
3716,1802,ヘイ,ヘイ,,false
3717,1803,ヘイ,ヘイ,,false
3718,1804,ヘイ,ヘイ,,false
3719,1804,もち,もち,,true
3720,1805,ベイ,ベイ,,false
3721,1805,マイ,マイ,,false
3722,1805,こめ,こめ,,true
3723,1806,ヘキ,ヘキ,,false
3724,1806,かべ,かべ,,true
3725,1807,ヘキ,ヘキ,,false
3726,1808,ヘキ,ヘキ,,false
3727,1808,くせ,くせ,,true
3728,1809,ベツ,ベツ,,false
3729,1809,わか-れる,わか,れる,true
3730,1810,ベツ,ベツ,,false
3731,1810,さげす-む,さげす,む,true
3732,1811,ヘン,ヘン,,false
3733,1811,かた,かた,,true
3734,1812,ヘン,ヘン,,false
3735,1812,あた-り,あた,り,true
3736,1812,べ,べ,,true
3737,1813,ヘン,ヘン,,false
3738,1813,かえ-す,かえ,す,true
3739,1813,かえ-る,かえ,る,true
3740,1814,ヘン,ヘン,,false
3741,1814,か-わる,か,わる,true
3742,1814,か-える,か,える,true
3743,1815,ヘン,ヘン,,false
3744,1815,かたよ-る,かたよ,る,true
3745,1816,ヘン,ヘン,,false
3746,1817,ヘン,ヘン,,false
3747,1817,あ-む,あ,む,true
3748,1818,ベン,ベン,,false
3749,1819,ベン,ベン,,false
3750,1819,ビン,ビン,,false
3751,1819,たよ-り,たよ,り,true
3752,1820,ベン,ベン,,false
3753,1821,ホ,ホ,,false
3754,1821,ブ,ブ,,false
